Project Id-ODG Click,Landing Date-ODG Click,Offer Desc-ODG Link,Link Id-ODG Click,Count-ODG Click,Clickstream Guid-ODG Click,Click Id-ODG Click
248839,6/11/2012,Vostro 3550_8,4318921,1,099a8ecd904c4d3aaf92c928b304171c,c8ab4f18-efa3-4fcf-906c-32a0ea72526a
248839,6/9/2012,Vostro 260 Slim Tower_8,4318933,1,b20d7c3347b44213aae29345e3cab4e0,9ef9a088-a205-405e-b7e6-1c861fbbe9cf
248839,6/5/2012,Vostro 260 Slim Tower_7,4318932,1,49c04b784253456e8e7564adf13ee335,b8fe437f-a513-4dde-af25-f5855d206061
248839,6/18/2012,Vostro 3550_9,4318922,1,d0be991b03bd4596977ae0cf71759dab,d49e3925-dd26-40d5-b659-2d110a8c25a4
248839,6/8/2012,Vostro 260 Slim Tower_20,4323306,1,063e8ed24c804c2c9408c8bba80f82fd,55fec64b-bdb4-4198-9a8c-52a18f4ccb04
248839,6/10/2012,Vostro 3550_8,4318921,1,b87236d9356c4175a090dca563e63e70,55349475-5b4c-45d5-8641-d4ceae94f7fb
248839,5/29/2012,Vostro 260 Slim Tower_3,4318928,1,5760dd8948dd4c5abc239063ce8db8b3,b2449f5d-abc6-4cc5-9403-56cd3a99d7bc
248839,5/27/2012,Vostro 260 Slim Tower_2,4318927,1,aebe77435c414b758dd62867549c90f7,3e1e4c16-9cfb-4e01-b823-2756881f7132
248839,6/2/2012,Vostro 3550_5,4318918,1,937664d38d6a40eb83fd79385ff3afc2,ca3d6dc2-3cc8-4232-b12b-a8874054954b
248839,6/7/2012,Vostro 260 Slim Tower_7,4318932,1,581c562a0edd4d5a8a24e2264478eed9,bdce1bac-3d80-4782-ab3b-33015bd1c0a4
248839,6/6/2012,Vostro 260 Slim Tower_7,4318932,1,b69dfd4168984acdae58355100e9fae1,e27aedcd-2f8f-4bb7-9f40-84b920a3fe7a
248839,6/19/2012,Vostro 3550_17,4323291,1,026bbcbcacc64215b049e9cba8a12faf,1a41863b-da66-44ba-95f4-09b3084a5f7d
248839,6/5/2012,Vostro 260 Slim Tower_7,4318932,1,2b0f8f31c93d42adb205d8cb9241a85c,c27d20ff-3e25-42e2-a871-9ea49aa004ca
248839,6/18/2012,Vostro 260 Slim Tower_34,4331745,1,0ac79d39a05049e192f63c965df05b97,c8164b60-9b43-464f-8640-8a5bf1cb11b6
248839,6/13/2012,Vostro 3550_9,4318922,1,f50c39d6d43544fcbe06538c0c3e5140,b3e22590-c556-4f7a-a594-e57c4ae8361b
248839,6/11/2012,Vostro 3550_17,4323291,1,315411b2822f426ca871803a4088b222,2450ead0-5bb1-4c69-aed1-cd726a75c1e1
248839,5/26/2012,Vostro 260 Slim Tower_2,4318927,1,242ea47b4d954f179d79dc998d9f8797,ce8c28e5-bc7d-4632-b990-d10b8a1d6021
248839,6/6/2012,Vostro 260 Slim Tower_7,4318932,1,9060013e794b466882cb7154869b4b09,f9e7849c-9f83-47ce-a318-3ce92f581e99
248839,5/28/2012,Vostro 260 Slim Tower_2,4318927,1,ef7cc751bc6c46308754e56a266c725c,b4f62c39-95a3-4d26-84e8-5f3cd589adfb
248839,5/28/2012,Vostro 260 Slim Tower_2,4318927,1,3d5fcdc1be684e3c8f8216046b3881c5,5e9b22e7-92c8-4762-a9ab-7759b07ee0eb
248839,5/27/2012,Vostro 260 Slim Tower_2,4318927,1,0d05082b7b8b45bcad1d59e75139039b,8fd932fe-c102-4140-87fd-a8551786f37b
248839,5/28/2012,Vostro 260 Slim Tower_2,4318927,1,ee896607b22d4b95a18cd5a56830a740,bd2be977-d6a1-4cee-a61a-01e93f29281f
248839,5/29/2012,Vostro 260 Slim Tower_3,4318928,1,3e50451512e94466bcbe62fb26576d78,5ea2c791-915a-460b-ba04-2095ff4cc9b0
248839,6/5/2012,Vostro 260 Slim Tower_7,4318932,1,c4ca7d4aa920489eb5d44872c1aa4b23,d4187c2f-974a-48ab-a43e-c64681f570c8
248839,6/13/2012,Vostro 3550_8,4318921,1,736cba4dc15648e18d66a18f9c9d7b79,b246bb01-ce99-4831-a702-58583f093cb2
248839,6/10/2012,Vostro 260 Slim Tower_8,4318933,1,3a806d3c45db466bb72c8df65571f6bb,39b787f0-fad6-43a8-82b6-ea859b96b717
248839,6/14/2012,Vostro 3550_9,4318922,1,7334c2831c2d47e3b8ecb6922fa9ecad,3256c624-19f1-492e-a6ef-020ec1c304e6
248839,6/7/2012,Vostro 260 Slim Tower_7,4318932,1,02e633d43bd543819d0c209d73c98e2e,d8545630-7983-4825-8a0e-eeab27bbbcb8
248839,5/26/2012,Vostro 260 Slim Tower_2,4318927,1,ce8cbd239847427b99d6de87c07ad742,87ce2d9e-eb2f-49a9-9292-6acd3efeedd7
248839,6/8/2012,Vostro 3550_8,4318921,1,dc03350462994bb082dc122713e9229a,4959c82b-cf4e-4124-8628-d59403796f83
248839,6/10/2012,Vostro 260 Slim Tower_8,4318933,1,a0684ea4add1406ebb39bd199a8393fb,a1e66f63-86a6-4b21-816a-4845a19a4a71
248839,6/1/2012,Vostro 3550_5,4318918,1,6a1bc5bc6f1c46b1a86ca6e567d931c9,84ba7c4b-dab8-432c-a8f7-8702ba4558ae
248839,6/4/2012,Vostro 260 Slim Tower_7,4318932,1,af77e629a8e54184b12b09ff0c557de4,6490500c-76ca-4ddd-b965-ae302ee7a4f5
248839,6/13/2012,Vostro 260 Slim Tower_8,4318933,1,6659fb020afa480fa84653a512de8180,52b88abe-5278-4583-ae2c-470c2d9e6959
248839,6/7/2012,Vostro 260 Slim Tower_7,4318932,1,d87973ea5f7440e39c15a40f75dc386f,5e31b9f3-8b71-4944-8f0a-62dbee8329de
248839,5/28/2012,Vostro 260 Slim Tower_2,4318927,1,3eacb857255a460caf138c0426fc9cb9,daf78136-0ccc-4b71-86d5-3b06c359cbe5
248839,6/3/2012,Vostro 3550_5,4318918,1,1a9be16d01dc448b8ce0457a61f01e58,90f413ae-0e3e-4366-a9ae-d3cf9beba3d0
